Runs :50
Difference : 1.0E-4
0.0446000 50 0 0.0
0.0447000 50 0 0.0
0.0448000 50 0 0.0
0.0449000 50 0 0.0
0.0450000 50 0 0.0
0.0451000 50 0 0.0
0.0452000 50 0 0.0
0.0453000 50 0 0.0
0.0454000 50 0 0.0
0.0455000 50 0 0.0
0.0456000 50 0 0.0
0.0457000 50 0 0.0
0.0458000 50 0 0.0
0.0459000 50 0 0.0
0.0460000 50 0 0.0
0.0461000 50 0 0.0
0.0462000 50 0 0.0
0.0463000 50 0 0.0
0.0464000 50 0 0.0
0.0465000 50 0 0.0
0.0466000 50 0 0.0
0.0467000 50 0 0.0
0.0468000 50 0 0.0
0.0469000 50 0 0.0
0.0470000 50 0 0.0
0.0471000 50 0 0.0
0.0472000 50 0 0.0
0.0473000 50 0 0.0
0.0474000 50 0 0.0
0.0475000 50 0 0.0
0.0476000 50 0 0.0
0.0477000 50 0 0.0
0.0478000 50 0 0.0
0.0479000 50 0 0.0
0.0480000 50 0 0.0
0.0481000 50 0 0.0
0.0482000 50 0 0.0
0.0483000 50 0 0.0
0.0484000 50 0 0.0
0.0485000 50 0 0.0
0.0486000 50 0 0.0
0.0487000 50 0 0.0
0.0488000 50 0 0.0
0.0489000 50 0 0.0
0.0490000 50 0 0.0
0.0491000 50 0 0.0
0.0492000 50 0 0.0
0.0493000 50 0 0.0
0.0494000 50 0 0.0
0.0495000 50 0 0.0
0.0496000 50 0 0.0
0.0497000 50 0 0.0
0.0498000 50 0 0.0
0.0499000 50 0 0.0
0.0500000 50 0 0.0
0.0501000 50 0 0.0
0.0502000 50 0 0.0
0.0503000 50 0 0.0
0.0504000 50 0 0.0
0.0505000 50 0 0.0
0.0506000 50 0 0.0
0.0507000 50 0 0.0
0.0508000 50 0 0.0
0.0509000 50 0 0.0
0.0510000 50 0 0.0
0.0511000 50 0 0.0
0.0512000 50 0 0.0
0.0513000 50 0 0.0
0.0514000 50 0 0.0
0.0515000 50 0 0.0
0.0516000 50 0 0.0
0.0517000 50 0 0.0
0.0518000 50 0 0.0
0.0519000 50 0 0.0
0.0520000 50 0 0.0
0.0521000 50 0 0.0
0.0522000 50 0 0.0
0.0523000 50 0 0.0
0.0524000 50 0 0.0
0.0525000 50 0 0.0
0.0526000 50 0 0.0
0.0527000 50 0 0.0
0.0528000 50 0 0.0
0.0529000 50 0 0.0
0.0530000 50 0 0.0
0.0531000 50 0 0.0
0.0532000 50 0 0.0
0.0533000 50 0 0.0
0.0534000 50 0 0.0
0.0535000 50 0 0.0
0.0536000 50 0 0.0
0.0537000 50 0 0.0
0.0538000 50 0 0.0
0.0539000 50 0 0.0
0.0540000 50 0 0.0
0.0541000 50 0 0.0
0.0542000 50 0 0.0
0.0543000 50 0 0.0
0.0544000 50 0 0.0
0.0545000 50 0 0.0
0.0546000 50 0 0.0
0.0547000 50 0 0.0
0.0548000 50 0 0.0
0.0549000 50 0 0.0
0.0550000 50 0 0.0
0.0551000 50 0 0.0
0.0552000 50 0 0.0
0.0553000 50 0 0.0
0.0554000 50 0 0.0
0.0555000 50 0 0.0
0.0556000 50 0 0.0
0.0557000 50 0 0.0
0.0558000 50 0 0.0
0.0559000 50 0 0.0
0.0560000 50 0 0.0
0.0561000 50 0 0.0
0.0562000 50 0 0.0
0.0563000 50 0 0.0
0.0564000 50 0 0.0
0.0565000 50 0 0.0
0.0566000 50 0 0.0
0.0567000 50 0 0.0
0.0568000 50 0 0.0
0.0569000 50 0 0.0
0.0570000 50 0 0.0
0.0571000 50 0 0.0
0.0572000 50 0 0.0
0.0573000 50 0 0.0
0.0574000 50 0 0.0
0.0575000 50 0 0.0
0.0576000 50 0 0.0
0.0577000 50 0 0.0
0.0578000 50 0 0.0
0.0579000 50 0 0.0
0.0580000 50 0 0.0
0.0581000 50 0 0.0
0.0582000 50 0 0.0
0.0583000 50 0 0.0
0.0584000 50 0 0.0
0.0585000 50 0 0.0
0.0586000 50 0 0.0
0.0587000 50 0 0.0
0.0588000 50 0 0.0
0.0589000 50 0 0.0
0.0590000 50 0 0.0
0.0591000 50 0 0.0
0.0592000 50 0 0.0
0.0593000 50 0 0.0
0.0594000 50 0 0.0
0.0595000 50 0 0.0
0.0596000 50 0 0.0
0.0597000 50 0 0.0
0.0598000 50 0 0.0
0.0599000 50 0 0.0
0.0600000 50 0 0.0
0.0601000 50 0 0.0
0.0602000 50 0 0.0
0.0603000 50 0 0.0
0.0604000 50 0 0.0
0.0605000 50 0 0.0
0.0606000 50 0 0.0
0.0607000 50 0 0.0
0.0608000 50 0 0.0
0.0609000 50 0 0.0
0.0610000 50 0 0.0
0.0611000 50 0 0.0
0.0612000 50 0 0.0
0.0613000 50 0 0.0
0.0614000 50 0 0.0
0.0615000 50 0 0.0
0.0616000 50 0 0.0
0.0617000 50 0 0.0
0.0618000 50 0 0.0
0.0619000 50 0 0.0
0.0620000 50 0 0.0
0.0621000 50 0 0.0
0.0622000 50 0 0.0
0.0623000 50 0 0.0
0.0624000 50 0 0.0
0.0625000 50 0 0.0
0.0626000 50 0 0.0
0.0627000 50 0 0.0
0.0628000 50 0 0.0
0.0629000 50 0 0.0
0.0630000 50 0 0.0
0.0631000 50 0 0.0
0.0632000 50 0 0.0
0.0633000 50 0 0.0
0.0634000 50 0 0.0
0.0635000 50 0 0.0
0.0636000 50 0 0.0
0.0637000 50 0 0.0
