Runs: 500
Size : 50
55 1849 0.6112397
55 1648 0.54479337
55 1775 0.58677685
55 1672 0.5527273
55 1615 0.5338843
55 1974 0.65256196
55 1796 0.593719
55 1763 0.5828099
55 1848 0.6109091
55 1883 0.6224793
55 1878 0.6208264
55 1931 0.6383471
55 1828 0.6042975
55 1835 0.60661155
55 1797 0.5940496
55 1708 0.5646281
55 1907 0.63041323
55 1922 0.6353719
55 1768 0.5844628
55 1773 0.5861157
55 1712 0.5659504
55 1844 0.6095868
55 1649 0.545124
55 1738 0.57454544
55 1764 0.5831405
55 1831 0.6052893
55 1707 0.5642975
55 1829 0.6046281
55 1749 0.5781818
55 1817 0.60066116
55 1781 0.5887603
55 1850 0.61157024
55 1804 0.59636366
55 1866 0.6168595
55 1728 0.57123965
55 1947 0.64363635
55 1745 0.57685953
55 1698 0.56132233
55 1763 0.5828099
55 1707 0.5642975
55 1907 0.63041323
55 1633 0.53983474
55 1882 0.62214875
55 1879 0.62115705
55 1793 0.59272724
55 1753 0.57950413
55 1740 0.57520664
55 1899 0.6277686
55 1774 0.5864463
55 1692 0.55933887
55 1641 0.54247934
55 1819 0.6013223
55 1796 0.593719
55 1824 0.6029752
55 1818 0.6009917
55 1731 0.5722314
55 1811 0.5986777
55 1881 0.6218182
55 1787 0.5907438
55 1829 0.6046281
55 1677 0.5543802
55 1697 0.56099176
55 1645 0.54380167
55 1773 0.5861157
55 1742 0.5758678
55 1733 0.57289255
55 1872 0.61884296
55 1726 0.5705785
55 1783 0.5894215
55 1669 0.5517355
55 1883 0.6224793
55 1606 0.53090906
55 1807 0.59735537
55 1874 0.61950415
55 1714 0.5666116
55 1800 0.59504133
55 1649 0.545124
55 1772 0.58578515
55 1818 0.6009917
55 1791 0.5920661
55 1664 0.5500826
55 1693 0.55966944
55 1790 0.59173554
55 1781 0.5887603
55 1825 0.60330576
55 1810 0.5983471
55 1848 0.6109091
55 1806 0.5970248
55 1876 0.6201653
55 1710 0.56528926
55 1724 0.5699174
55 1851 0.6119008
55 1794 0.5930579
55 1859 0.61454546
55 1898 0.627438
55 1714 0.5666116
55 1771 0.5854545
55 1699 0.5616529
55 1786 0.5904132
55 1670 0.5520661
55 1662 0.5494215
55 1687 0.557686
55 1789 0.591405
55 1843 0.6092562
55 1834 0.606281
55 1777 0.587438
55 1816 0.6003306
